rank,name,from,lead,speed,bould,total
3,GARNBRET Janja,SLO,8,7,2,112
2,NOGUCHI Akiyo,JPN,2,10,4,80
1,COXSEY Shauna,GBR,3,14,1,42
7,MIROSLAW Aleksandra,POL,20,1,19,390
8,NONAKA Miho,JPN,14,5,6,420
5,MORI Ai,JPN,1,18,16,288
6,ITO Futaba,JPN,15,4,5,300
4,KLINGLER Petra,SUI,12,8,3,288
9,RABOUTOU Brooke,USA,7,6,10,420
10,PILZ Jessica,AUT,6,11,7,462
11,JAUBERT Anouck,FRA,18,2,17,612
12,CHANOURDIE Julia,FRA,11,9,8,792
13,SEO Chaehyun,KOR,5,16,13,1040
14,KRAMPL Mia,SLO,4,19,14,1064
15,NIU Di,CHN,19,3,19,1111.5
16,LUKAN Vita,SLO,9,20,9,1620
17,RAKOVEC Lucka,SLO,10,15,12,1800
18,YIP Alannah,CAN,16,12,11,2112
19,KURA Nanako,JPN,17,13,15,3315
20,KAZBEKOVA Ievgeniia,UKR,13,17,18,3978
