overall,climber,nation,a,b,speed,x1,x2,x3,x4,results,bouldering,hr,tft,lead,total,notes
1,Janja Garnbret,Slovenia,9.44,10.32,14,T1z1,T1z1,T1z1,T1z1,4T4z 4 4,1,30,,4,56.00,Q
2,Seo Chae-hyun,South Korea,10.01,11.74,17,T3z1,T2z2,z1,z1,2T4z 5 5,5,40+,,1,85.00,Q
3,Miho Nonaka,Japan,7.55,7.74,4,T2z1,z1,z1,–,1T3z 2 3,8,30+,,3,96.00,Q
4,Akiyo Noguchi,Japan,8.27,8.23,9,T2z1,z1,T2z1,T1z1,3T4z 5 4,3,27+,,6,162.00,Q
5,Brooke Raboutou,United States,8.67,8.81,12,T2z1,T1z1,z1,T1z1,3T4z 4 4,2,26+,3:40,8,192.00,Q
6,Jessica Pilz,Austria,8.51,8.63,11,T3z1,z3,z1,–,1T3z 3 5,9,33+,,2,198.00,Q
7,Aleksandra Mirosław,Poland,6.97 OR,7.01,1,–,–,–,–,0T0z 0 0,20,12,,19,380.00,Q
8,Anouck Jaubert,France,7.12,7.29,2,T4z1,–,–,–,1T1z 4 1,13,16+,2:14,15,390.00,Q
9,Viktoria Meshkova,ROC,9.54,9.73,15,T6z1,T2z2,z1,z1,2T4z 8 5,6,29+,,5,450.00,
10,Shauna Coxsey,Great Britain,9.65,10.07,16,T2z1,T1z1,z1,z1,2T4z 3 4,4,21+,2:23,13,832.00,
11,Kyra Condie,United States,8.12,8.08,7,T4z1,–,z1,z3,1T3z 4 5,11,22+,,11,847.00,
12,Song Yiling,China,8.74,7.46,3,z5,–,–,–,0T1z 0 5,19,13+,,18,1026.00,
13,Julia Chanourdie,France,8.43,8.17,8,z1,z7,z1,–,0T3z 0 9,15,25+,,9,1080.00,
14,Alannah Yip,Canada,8.17,7.99,6,z1,–,z1,–,0T2z 0 2,16,21+,2:14,12,1152.00,
15,Laura Rogora,Italy,10.50,Fall,19,z1,z2,T1z1,z1,1T4z 1 5,7,25,,10,1330.00,
16,Petra Klingler,Switzerland,8.42,8.67,10,T3z1,z3,z4,–,1T3z 3 8,10,16+,1:49,14,1400.00,
17,Iuliia Kaplina,ROC,7.65,Fall,5,z2,–,–,–,0T1z 0 2,18,14+,,17,1530.00,
18,Mia Krampl,Slovenia,10.44,10.43,18,z1,z1,z1,z2,0T4z 0 5,14,26+,3:16,7,1764.00,
19,Oceana Mackenzie,Australia,8.83,9.38,13,T3z1,–,z1,–,1T2z 3 2,12,15+,,16,2496.00,
20,Erin Sterkenburg,South Africa,Fall,11.10,20,z1,–,–,–,0T1z 0 1,17,7+,,20,6800.00,
